iterations,tabu_size,avg_time,avg_bins,std_bins
50,5,75.17409315109253,8.0,0.0
50,10,74.27874007225037,8.0,0.0
50,20,74.89648795127869,8.0,0.0
100,5,152.464630651474,8.0,0.0
100,10,150.68101410865785,8.0,0.0
100,20,151.09862093925477,8.0,0.0
200,5,302.0975992679596,8.0,0.0
200,10,313.51719226837156,8.0,0.0
200,20,305.28629169464114,8.0,0.0
